28/02/2024 10:29:38 - 0081:	 - train_loss: 0.486297:	 - test_loss: 0.614345:	 mIoU 0.5300
28/02/2024 10:30:09 - 0082:	 - train_loss: 0.494529:	 - test_loss: 0.618533:	 mIoU 0.5195
28/02/2024 10:30:40 - 0083:	 - train_loss: 0.478309:	 - test_loss: 0.617386:	 mIoU 0.5169
28/02/2024 10:31:10 - 0084:	 - train_loss: 0.475494:	 - test_loss: 0.612052:	 mIoU 0.5336
28/02/2024 10:31:41 - 0085:	 - train_loss: 0.477445:	 - test_loss: 0.613457:	 mIoU 0.5357
28/02/2024 10:32:12 - 0086:	 - train_loss: 0.485736:	 - test_loss: 0.615414:	 mIoU 0.5259
28/02/2024 10:32:43 - 0087:	 - train_loss: 0.488530:	 - test_loss: 0.614725:	 mIoU 0.5249
28/02/2024 10:33:13 - 0088:	 - train_loss: 0.482986:	 - test_loss: 0.612560:	 mIoU 0.5322
28/02/2024 10:33:44 - 0089:	 - train_loss: 0.484043:	 - test_loss: 0.614292:	 mIoU 0.5311
28/02/2024 10:34:15 - 0090:	 - train_loss: 0.481921:	 - test_loss: 0.614607:	 mIoU 0.5258
28/02/2024 10:34:46 - 0091:	 - train_loss: 0.470021:	 - test_loss: 0.612651:	 mIoU 0.5311
28/02/2024 10:35:16 - 0092:	 - train_loss: 0.472798:	 - test_loss: 0.616329:	 mIoU 0.5278
28/02/2024 10:35:47 - 0093:	 - train_loss: 0.477313:	 - test_loss: 0.611159:	 mIoU 0.5338
28/02/2024 10:36:18 - 0094:	 - train_loss: 0.483758:	 - test_loss: 0.611419:	 mIoU 0.5331
28/02/2024 10:36:49 - 0095:	 - train_loss: 0.477564:	 - test_loss: 0.609167:	 mIoU 0.5360
28/02/2024 10:37:20 - 0096:	 - train_loss: 0.469476:	 - test_loss: 0.614670:	 mIoU 0.5311
28/02/2024 10:37:51 - 0097:	 - train_loss: 0.474252:	 - test_loss: 0.610685:	 mIoU 0.5288
28/02/2024 10:38:22 - 0098:	 - train_loss: 0.476644:	 - test_loss: 0.608690:	 mIoU 0.5401
28/02/2024 10:38:53 - 0099:	 - train_loss: 0.469481:	 - test_loss: 0.612952:	 mIoU 0.5381
28/02/2024 10:39:24 - 0100:	 - train_loss: 0.470905:	 - test_loss: 0.617454:	 mIoU 0.5235
28/02/2024 10:39:54 - 0101:	 - train_loss: 0.470149:	 - test_loss: 0.610317:	 mIoU 0.5325
28/02/2024 10:40:25 - 0102:	 - train_loss: 0.468299:	 - test_loss: 0.607667:	 mIoU 0.5357
28/02/2024 10:40:56 - 0103:	 - train_loss: 0.476145:	 - test_loss: 0.607600:	 mIoU 0.5344
28/02/2024 10:41:27 - 0104:	 - train_loss: 0.482392:	 - test_loss: 0.609641:	 mIoU 0.5295
28/02/2024 10:41:57 - 0105:	 - train_loss: 0.475595:	 - test_loss: 0.606281:	 mIoU 0.5350
28/02/2024 10:42:28 - 0106:	 - train_loss: 0.463027:	 - test_loss: 0.608529:	 mIoU 0.5307
28/02/2024 10:42:59 - 0107:	 - train_loss: 0.477447:	 - test_loss: 0.607016:	 mIoU 0.5353
28/02/2024 10:43:30 - 0108:	 - train_loss: 0.482866:	 - test_loss: 0.612422:	 mIoU 0.5287
28/02/2024 10:44:01 - 0109:	 - train_loss: 0.478313:	 - test_loss: 0.610922:	 mIoU 0.5292
28/02/2024 10:44:31 - 0110:	 - train_loss: 0.462703:	 - test_loss: 0.613180:	 mIoU 0.5314
28/02/2024 10:45:02 - 0111:	 - train_loss: 0.463983:	 - test_loss: 0.612089:	 mIoU 0.5327
28/02/2024 10:45:33 - 0112:	 - train_loss: 0.472564:	 - test_loss: 0.605274:	 mIoU 0.5329
28/02/2024 10:46:04 - 0113:	 - train_loss: 0.465678:	 - test_loss: 0.604045:	 mIoU 0.5374
28/02/2024 10:46:34 - 0114:	 - train_loss: 0.472984:	 - test_loss: 0.617797:	 mIoU 0.5240
28/02/2024 10:47:05 - 0115:	 - train_loss: 0.474859:	 - test_loss: 0.607513:	 mIoU 0.5328
28/02/2024 10:47:36 - 0116:	 - train_loss: 0.482414:	 - test_loss: 0.612027:	 mIoU 0.5167
28/02/2024 10:48:07 - 0117:	 - train_loss: 0.468188:	 - test_loss: 0.608374:	 mIoU 0.5330
28/02/2024 10:48:38 - 0118:	 - train_loss: 0.474368:	 - test_loss: 0.608099:	 mIoU 0.5364
28/02/2024 10:49:08 - 0119:	 - train_loss: 0.464138:	 - test_loss: 0.605809:	 mIoU 0.5384
28/02/2024 10:49:39 - 0120:	 - train_loss: 0.458973:	 - test_loss: 0.608782:	 mIoU 0.5359
28/02/2024 10:50:10 - 0121:	 - train_loss: 0.474317:	 - test_loss: 0.608481:	 mIoU 0.5388
28/02/2024 10:50:41 - 0122:	 - train_loss: 0.466224:	 - test_loss: 0.607136:	 mIoU 0.5388
28/02/2024 10:51:11 - 0123:	 - train_loss: 0.465193:	 - test_loss: 0.606024:	 mIoU 0.5389
28/02/2024 10:51:42 - 0124:	 - train_loss: 0.476345:	 - test_loss: 0.609228:	 mIoU 0.5355
28/02/2024 10:52:13 - 0125:	 - train_loss: 0.464778:	 - test_loss: 0.641674:	 mIoU 0.4750
28/02/2024 10:52:44 - 0126:	 - train_loss: 0.468669:	 - test_loss: 0.602926:	 mIoU 0.5336
28/02/2024 10:53:15 - 0127:	 - train_loss: 0.471802:	 - test_loss: 0.604453:	 mIoU 0.5360
28/02/2024 10:53:45 - 0128:	 - train_loss: 0.461800:	 - test_loss: 0.603733:	 mIoU 0.5356
28/02/2024 10:54:16 - 0129:	 - train_loss: 0.463684:	 - test_loss: 0.604883:	 mIoU 0.5338
28/02/2024 10:54:47 - 0130:	 - train_loss: 0.463219:	 - test_loss: 0.600103:	 mIoU 0.5415
28/02/2024 10:55:18 - 0131:	 - train_loss: 0.474827:	 - test_loss: 0.597593:	 mIoU 0.5391
28/02/2024 10:55:48 - 0132:	 - train_loss: 0.475726:	 - test_loss: 0.601012:	 mIoU 0.5366
28/02/2024 10:56:19 - 0133:	 - train_loss: 0.459394:	 - test_loss: 0.601997:	 mIoU 0.5373
28/02/2024 10:56:50 - 0134:	 - train_loss: 0.465810:	 - test_loss: 0.598203:	 mIoU 0.5395
28/02/2024 10:57:21 - 0135:	 - train_loss: 0.474127:	 - test_loss: 0.634205:	 mIoU 0.4988
28/02/2024 10:57:52 - 0136:	 - train_loss: 0.490366:	 - test_loss: 0.604394:	 mIoU 0.5338
28/02/2024 10:58:23 - 0137:	 - train_loss: 0.482203:	 - test_loss: 0.604768:	 mIoU 0.5374
